"tenCongTy","linkCongTy","quyMo","gioiThieuCT","linkJob","tenJob","hanNopHoSo","mucLuong","hinhThucLamViec","gioiTinh","soLuongTuyen","capBac","kinhNghiem","diaDiemLamViec","moTaCongViec","yeuCauUngVien","quyenLoi","Image","diaChiCongTy"
"CÔNG TY CỔ PHẦN CÔNG NGHỆ SANDBOXVN"," "," 25-99 nhân viên","<p>Sandboxvn phát triển các nền tảng công nghệ bao gồm:</p>","https://www.topcv.vn/viec-lam/net-developer-asp-net-webform-c-up-to-1600/928442.html?ta_source=JobSearchList",".Net Developer ( Asp.Net Webform, C#) Up To 1600$"," "," "," "," "," "," "," "," "," "," "," "," "," "
"CÔNG TY TNHH CYBRIDGE Á CHÂU"," "," 25-99 nhân viên","<p>CÔNG TY TNHH CYBRIDGE Á CHÂU</p>","https://www.topcv.vn/viec-lam/front-end-engineer-co-the-phong-van-online/930258.html?ta_source=JobSearchList","Front-End Engineer - Có Thể Phỏng Vấn Online"," Hạn nộp hồ sơ: 31/03/2023","Tới 25 triệu","Toàn thời gian","Không yêu cầu","4 người","Nhân viên","1 năm","- Hồ Chí Minh: Nguyễn Lâm Tower, số 133 đường Dương Bá Trạc, Phường 1, Quận 8, Tp. Hồ Chí Minh (cách cầu Nguyễn Văn Cừ 300m), Quận 8","<div class=""content-tab""><p>• Layout web, sử dụng HTML5/CSS3, jQuery/Vue.js.<br>• Nhận yêu cầu từ Project leader và thực hiện những yêu cầu đó đúng thời hạn được giao.<br>• Tham gia cùng nhóm: phân tích, thực hiện layout,... các yêu cầu về project.<br><br><strong>[Thời gian làm việc]</strong><br>• Từ thứ Hai đến thứ Sáu.<br>• 8:00 - 17:00 (Nghỉ trưa: 12:00 - 13:00).</p><p>(Có thể phỏng vấn online hoặc trực tiếp tại văn phòng).</p></div>","<div class=""content-tab""><p>• Có ít nhất 1 năm kinh nghiệm trong cùng vị trí.<br>• Có kinh nghiệm tốt về HTML5/CSS3.<br>• Biết ít nhất một JavaScript Frameworks (jQuery, Vue.js, ...).<br>• Có kinh nghiệm làm về Responsive.</p><p><strong>Lợi thế khi có kiến thức về:</strong><br>• jQuery, Vue.js, React.<br>• SASS.<br>• Subversion (Git).</p></div>","<div class=""content-tab""><p>• Lương thưởng theo năng lực.<br>• Xem xét tăng lương 2 lần / năm.<br>• Được hưởng các chế độ về BHXH, BHYT và các chế độ khác theo quy định của Công ty và quy định của pháp luật lao động Việt Nam.<br>• Linh động thời gian làm việc và thời gian nghỉ ngơi.<br>• Thưởng thâm niên mỗi 5 năm.<br>• Được sử dụng thiết bị hiện đại phục vụ cho công việc.<br>• Môi trường làm việc: năng động, thân thiện.<br>• Tham gia các sự kiện và hoạt động của công ty.<br>• Được tham gia các khóa đào tạo, seminar về kỹ năng liên quan kỹ thuật và kỹ năng mềm.<br>• Quà: Sinh nhật, Tết, Trung Thu, ...</p></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-tnhh-cybridge-a-chau-63f2df44341f3.jpg","Phòng 301, Nguyễn Lâm Tower, số 133 đường Dương Bá Trạc, Phường 1, Quận 8, Tp. Hồ Chí Minh."
"SonatGame Studio"," "," 25-99 nhân viên","<p><strong>SONAT GAME STUDIO</strong> là công ty sản xuất game mobile toàn cầu - Top 1 Puzzle Game Việt Nam - hiện là các đối tác chiến lược của: Google, Apple, Facebook, Tiktok, Unity.&nbsp;<br>Với mục tiêu phát triển doanh nghiệp sánh ngang với các công ty đa quốc gia đứng đầu trên toàn thế giới, Sonat cần đến bạn - những mảnh ghép tài năng và bản lĩnh.</p>","https://www.topcv.vn/viec-lam/unity-developer-thu-nhap-it-nhat-18-20-thang-luong-nam-tai-ho-chi-minh/821861.html?ta_source=JobSearchList","Unity Developer (Thu Nhập Ít Nhất 18 - 20 Tháng Lương/Năm) Tại Hồ Chí Minh"," "," "," "," "," "," "," "," "," "," "," "," "," "
"True Anthem","https://www.trueanthem.com/"," 10-24 nhân viên","<p>True Anthem provides data-driven social publishing to some of the world’s most prominent media companies including Reuters, CBS, ABC, Fox, and Meredith Magazines among others. Our solution leverages big data analytics and viral prediction to identify and distribute trending content in real time across the social web. Investors in True Anthem include CrunchFund, CoreVentures and others.</p>","https://www.topcv.vn/viec-lam/quality-assurance-engineer-qa-engineer-working-remotely/927511.html?ta_source=JobSearchList","Quality Assurance Engineer (QA Engineer, Working Remotely)"," Hạn nộp hồ sơ: 12/03/2023","Tới 1,500 USD","Toàn thời gian","Không yêu cầu","1 người","Nhân viên","1 năm","- Hà Nội: 1 Lương Yên, Hai Bà Trưng","<div class=""content-tab""><p>●	Manually test every new feature, bug, and tech debt fix. Understanding the requirements, the user needs, and exploratory testing are very important. Being able to read and review code is also very helpful.
</p><p>●	Maintain the Regression Test Suite as new features are released. This involves adding to and updating test case documentation.
</p><p>●	Regression Test weekly releases and sign off the deployment to Production. This would be done through a combination of automated and manual testing.
</p><p>●	Be a part of the agile development team. This involves participating in the Kanban process that the development team uses, including daily standups. Being able to participate in the software design with the developers is also required.
</p><p>●	Be the next level of escalation for the production support team with diagnosing and resolving technical issues where possible.
</p><p>●	Manage root cause analysis of bugs leaking to production so that we can learn from our mistakes and prevent the same issues from recurring.
</p><p><br></p></div>","<div class=""content-tab""><p>●	Have bachelor degree in IT/Software Engineering or equivalent
</p><p>●	Have at least 1 year of experience and above in software testing
</p><p>●	Written and verbal communication are cornerstones of successfully filling this position.
</p><p>●	Testing and Analytical skills - Great attention to detail, a natural curiosity and desire to learn, and the ability to analyze requirements.
</p><p>●	Technical skills - Read and review application code, write test automation code, write database queries, basic debugging, and use of the command line effectively.
</p><p>●	Knowledge of agile software engineering practices of the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.
</p><p>●	Collaboration with technical team members using the Git version control tool.</p></div>","<div class=""content-tab""><ul><li>Salary: up to 1500$</li><li>Annual Performance Review</li><li>Macbook Pro</li><li>US Onsite training opportunities</li><li>Working remotely</li></ul></div>","https://cdn.topcv.vn/80/company_logos/AalfNnBFSwZ9kAr6BsuIf04tXYNlYyQM_1649734183____055b4731f2ec8d3f531e57928676d39c.png","1 Lương Yên, UP Working Space"
"Trail Limited","https://gettrail.com/"," 25-99 nhân viên","<p>Trail is a fast-growing software company from New Zealand that has a technology team based in Hanoi, Vietnam. Trail is New Zealand’s leading CRM system for financial advisers with global ambitions.</p>","https://www.topcv.vn/viec-lam/senior-front-end-react-software-developer-upto-1600/923159.html?ta_source=JobSearchList","Senior Front End (React) Software Developer Upto 1600$"," Hạn nộp hồ sơ: 07/03/2023","1,300-1,600 USD","Toàn thời gian","Không yêu cầu","1 người","Nhân viên","3 năm","- Hà Nội: 18 Đ. Tam Trinh, Mai Động, Hai Bà Trưng","<div class=""content-tab""><p>- Working with the product team and contributing to ensure the requirements of a project are technically feasible.<br></p><p>- Implementation of new projects; working closely with the product managers to build new features or to make improvements to existing areas of the software</p><p>- Performing peer code reviews and testing for work done by other members of the team to ensure it meets the standards set out in the Trail development guidelines</p><p>- Maintenance (working on feedback suggestions and bug reports) working with the rest of the development team on diagnosing and fixing bugs reported by clients or found by our testers, as well as updates and improvements to the software&nbsp;</p><p>- Working to develop and refine our front end development processes in React through training and documentation to ensure the wider development team to contribute effectively to projects requiring frontend development</p><p><i>Measurable Outcomes</i></p><p>- The Frontend system using React is built to a high quality and is able to be used an understood by the wider team in order to rapidly prototype and complete development projects</p><p>- Projects are developed through high quality code</p><p>- This will be measured through a management review focusing on</p><p>- Code quality, syntax, correctness, performance, commenting</p><p>- Reported errors</p><p>- Code review errors</p><p>- Number and quality of test cases</p><p>- Comprehension and communication around tasks</p></div>","<div class=""content-tab""><p>- Technical skill<br></p><p>- Skilled in React</p><p>- Proficient with using IDEs such as VS or VSCode</p><p>- Knowledge around tools used in front end systems such as Storybook and Figma</p><p>- Communication</p><p>- Good written and verbal skills in English</p><p>- Able to work well in a team, across timezones</p><p>- Proactive communicator who will raise challenges or concerns with their team</p><p>- Problem solving</p><p>- Process minded</p><p>- Leadership, Initiative, and self-starting</p></div>","<div class=""content-tab""><p>- Pay range - Competitive USD salary based on your experience (1300$ - 1600$). Net salary</p><p>- 13th month bonus
</p><p>- Time start from 7:30AM and off for 4:30PM VNT (possible change)
</p><p>- Allowance for insurance and tax
</p><p>- Flexible starting/finishing times
</p><p>- Work desktop and work phone plan
</p><p>- Huge career and development opportunities
</p><p>- Creative space and work environment
</p><p>- Great chance to learn English while gaining experience working with an international company
</p><p>- Freestyle dress code, no uniforms
</p><p>- Pets allowed - bring your dog/cat to work
</p><p>- Enjoy time together at the end of the week (normally on Friday and we have a allowance for that)</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p><p>
</p></div>","https://cdn.topcv.vn/80/company_logos/trail-limited-63e31309a57dd.jpg","VTC Online building, 18 Tam Trinh, Hai Ba Trung, Hanoi"
"Công ty Cổ phần GEM","http://www.gemvietnam.com/"," 100-499 nhân viên","<p>At GEM, we place a large focus on training our young and enthusiast team. This allows us to consult you and deliver IT solutions which best fit your needs and keep your customers &amp; clients satisfied. GEM´s annual growth rate (100%) is the proof that our method works.
</p>","https://www.topcv.vn/viec-lam/java-developer-upto-50m/623314.html?ta_source=JobSearchList","Java Developer Upto 50M"," Hạn nộp hồ sơ: 20/03/2023","Tới 50 triệu","Toàn thời gian","Không yêu cầu","2 người","Nhân viên","2 năm","- Hà Nội: Tầng 3, Tòa The Nine, số 9 Phạm Văn Đồng, Cầu Giấy, Hà Nội, Nam Từ Liêm","<div class=""content-tab""><ul><li>Developing Java Enterprise Applications for big clients in Singapore, Japan, US and Europe.</li><li>Develop both back-end and front-end parts of software systems using the latest technologies and management tools</li><li>Work and develop yourself in the young Agile-transforming environment</li><li>Communicate with professional teams and clients all over the world</li></ul></div>","<div class=""content-tab""><ul><li>Must have:<br>At least 2 years of experience in Java and J2EE, Restful API<br>Frameworks: Spring MVC, JPA, Spring Boot, Bootstrap, AngularJS or ReactJS, Hibernate. Knowing NodeJS is an advantage</li><li><br>Would be a plus point if having the below skills:<br>Programming skill in front-end development (HTML, CSS, Javascript)<br>Databases: Postgres, MySQL, MS SQL<br>Architecture: Monolithic, Microservices<br>Ability to learn and adapt to modern technology quickly<br>Self-management and teamwork-minded<br>Ability to communicate with clients by spoken English (above basic level)<br>Having completed studies related to information technology</li></ul></div>","<div class=""content-tab""><ul><li>Salary: $2000</li><li>Probation salary is 100% of official salary</li><li>13th-month salary and performance review twice a year</li><li>Bonus for special occasions each year (Labor Day, National Day, Solar New year, Lunar New Year)</li><li>IT Certificate allowance (AWS/Azure, Outsystems, Salesforce, PMP, Agile/Scrum)</li><li>BIC Care Health Insurance</li><li>Social, health and unemployment Insurance following Government policy</li><li>Enjoy company summer trips and other team building activities held &nbsp;monthly and quarterly</li><li>Work five days per week with flexible working time</li><li>Have opportunities to work onsite in Singapore, USA, Sweden, Korea, and Japan</li><li>Have chances to gain knowledge on the latest waves of blockchain, AI, Big Data</li><li>Professional, creative and dynamic working environment</li></ul></div>","https://cdn.topcv.vn/80/company_logos/2uZddQFbb45unUb9mXZiALh16jZYUvBP_1652265239____c6dcebfb536e1c44faac994f341002af.jpg","Tầng 3, Tòa nhà The Nine, số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội"
"Công Ty Cổ Phần Đầu Tư Công Nghệ Hacom","https://hacom.vn/"," 500-1000 nhân viên","<p>Công ty Cổ phần Đầu tư Công nghệ HACOM (HACOM), tiền thân là Công ty Cổ phần Máy tính Hà Nội (HNC) là một trong những doanh nghiệp tiên phong tại Hà Nội trong lĩnh vực Kinh doanh các sản phẩm CNTT và thiết bị văn phòng. Thành lập từ năm 2001 đến nay, công ty đã tạo được chỗ đứng vững chắc trên thị trường bán buôn, bán lẻ. Trở thành thương hiệu quen thuộc và là đối tác tin cậy của nhiều bạn hàng trong nước và Quốc tế. Với chặng đường hơn 20 năm tăng trưởng và phát triển không ngừng, cùng phương châm kinh doanh “Uy tín tạo dựng niềm tin” chúng tôi luôn mong muốn tìm kiếm đội ngũ nhân lực chuyên nghiệp, nhiệt huyết, đầy năng lực và có mong muốn xây dựng sự nghiệp bền vững và lâu dài tại HACOM.<br><br>Chính sách tuyển dụng Công ty là đa dạng hóa nguồn ứng viên, từ các ứng viên có kinh nghiệm, trình độ chuyên môn cao, cho đến các bạn sinh viên trẻ có thành tích học tập tốt, có tinh thần cầu tiến, ham học hỏi, dám chấp nhận thử thách và chịu được áp lực cao. Ứng viên đến với HACOM sẽ được đánh giá công bằng, khách quan dựa trên yếu tố năng lực và sự phù hợp với môi trường làm việc.<br><br>LIÊN HỆ : Anh/chị vui lòng gửi CV đầy đủ về quá trình học tập, công tác, khả năng, năng lực bản thân về địa chỉ email tuyendung&amp;hacom.vn &nbsp;hoặc xem thông tin tại website của công ty hoặc nộp trực tiếp tại Phòng HCNS – Tầng 4 – số 129 + 131 Lê Thanh Nghị, Hai Bà Trưng, Hà Nội HOTLINE HỖ TRỢ: 0981.699.661(Ms.Minh) /Hoặc 19001903 – máy lẻ 25437</p>","https://www.topcv.vn/viec-lam/nhan-vien-quan-tri-website-luong-16tr-20tr-thang-ha-noi/703986.html?ta_source=JobSearchList","Nhân Viên Quản Trị Website ( Lương: 16Tr - 20Tr/Tháng)- Hà Nội"," Hạn nộp hồ sơ: 08/03/2023","Tới 20 triệu","Toàn thời gian","Nam","2 người","Nhân viên","2 năm","- Hà Nội: Số 131 Lê Thanh Nghị - Hai Bà Trưng - Hà Nội","<div class=""content-tab""><p><strong>HACOM – TUYỂN DỤNG QUẢN TRỊ WEBSITE - HÀ NỘI&nbsp;</strong></p><p>- Địa điểm làm việc: Số 131 Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội<br>- Thời gian: từ 8h30 đến 17h30 Thứ 2 đến Thứ 7 hàng tuần, nghỉ trưa từ 12h00-13h00, nghỉ chủ nhật hàng tuần, 1 tháng nghỉ 2 chiều thứ 7.</p><p>– &nbsp;Lập trình và phát triển website của công ty;<br>– Quản trị Hosting/ Server, check lỗi website, xử lý và khắc phục các lỗi lập trình, sự cố liên quan đến website;<br>– Tối ưu giao diện Website, hiển thị cho các sản phẩm website<br>– Đảm bảo tính ổn định về mặt kỹ thuật và chất lượng về thông tin trên website;<br>– &nbsp;Cập nhật nội dung website theo yêu cầu của Công ty.<br>– Chi tiết công việc sẽ trao đổi thêm khi phỏng vấn.</p></div>","<div class=""content-tab""><p>– Có hiểu biết về HTML, CSS; Wordpress<br>– Là người sáng tạo, cẩn thận, ham học hỏi, yêu thích và đam mê phát triển sản phẩm trên website;<br>– Có ít nhất 2 năm kinh nghiệm liên qua đến lập trình website<br>– Hiểu biết cơ bản về các nền tảng Digital Marketing<br>- Nhiệt huyết, thân thiện, tinh thần trách nhiệm công việc cao</p></div>","<div class=""content-tab""><p><b>– Mức thu nhập: 16.000.000 đ – 20.000.000 đ</b><br>– Các chế độ BHXH, BHYT, BHTN theo Luật định và theo quy định công ty.<br>– Thưởng cuối năm theo kết quả kinh doanh năm.<br>– Thưởng các ngày Lễ lớn: Tết, 30/4, 2/9….</p><p>&nbsp;</p><p><strong>LIÊN HỆ:</strong><br><strong>- Anh/chị vui lòng gửi CV đầy đủ về quá trình học tập, công tác, khả năng, năng lực bản thân về địa chỉ email ........... hoặc xem thông tin tại website của công ty hoặc nộp trực tiếp tại phòng HCNS: Tầng 4, số 131 Lê Thanh Nghị, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội</strong><br>&nbsp;</p></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-co-phan-dau-tu-cong-nghe-hacom-6271df8d132e2.jpg","Số 129 + 131, phố Lê Thanh Nghị, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội"
"Convert Digital","https://www.convertdigital.com.au/"," 25-99 nhân viên","<p>Based in Melbourne &amp; Sydney, Australia, CD is a leading international ecommerce development company that designs, develops and integrates best practice Magento, Shopify and Bigcommerce ecommerce solutions. We work with global leading retailers and online merchants as the most experienced Magento, Shopify and Bigcommerce partners to deliver integrated ecommerce and digital solutions.
</p>","https://www.topcv.vn/viec-lam/senior-shopify-tech-lead/924698.html?ta_source=JobSearchList","Senior Shopify (Tech Lead)"," Hạn nộp hồ sơ: 16/03/2023","Thoả thuận","Toàn thời gian","Không yêu cầu","1 người","Trưởng nhóm","4 năm","- Hà Nội: 58A Ngô Thì Nhậm, Hai Bà Trưng","<div class=""content-tab""><ul><li>Developing eCommerce sites on Shopify platform.
</li><li>Responsible for the development of the Shopify platform, themes, liquid programming language and corresponding apps.
</li><li>Integrating third-party and platform supported apps in the sites.
</li><li>Setting up payment integration, shipping methods and taxes in Shopify platform.
</li><li>Working closely with project managers to address client requests.</li></ul></div>","<div class=""content-tab""><ul><li>Excellent communication skills and the ability to work together with other developers, designers and project stakeholders
</li><li>Excellent communication skills with development team, explaining technical decisions, new technology choices
</li><li>Strong understanding of modern web technologies
</li><li>Understanding of core web performance metrics (page speed)
</li><li>Demonstrated experience working with technical leads to develop and implement coding practices and standards within a development team
</li><li>Demonstrated strong understanding of at least one modern JS framework/library, e.g. React, Vue, Angular
</li><li>Ability to code review and mentor junior/mid developers
</li><li>Experience working with headless CMS (Prismic, Strapi, Contentful or similar)
</li><li>Experience with git and gitflow, working within a development team
</li><li>Experience handling data from 3rd party systems using REST and GraphQL
</li><li>Typescript experience
</li><li>Ability to understand and contribute to RFP responses
</li><li>Experience or familiarity with Shopify as a platform
</li><li>It's a bonus if you have:
</li><li>- Jamstack experience
</li><li>- Previous agency experience
</li><li>- Experience building headless eCommerce websites
</li><li>- Nodejs and node based web framework experience
</li><li>- Test automation (jest, cypress etc.)</li></ul></div>","<div class=""content-tab""><ul><li>Very competitive salary;
</li><li>15 annual leave and 5 sick leave per year;
</li><li>Young and dynamic team in a friendly and professional, international working environment;
</li><li>Gym, Yoga and other Sports packages.
</li><li>Pay full Social insurance, Health insurance;
</li><li>Bao Viet health insurance package;
</li><li>Many team activities: happy hour every Friday, team lunch, cinema, birthday party, team building every quarter, company trip (Korea, Bali, Nha Trang, Phu Quoc, ...);
</li><li>Bonus on birthday, International Children Day, Mid-autumn festival;
</li><li>Quarterly bonus and 13th month salary;
</li><li>Annual health checkup at the top hospital in Vietnam;
</li><li>Work time: from Monday to Friday (40h/week).</li></ul></div>","https://cdn.topcv.vn/80/company_logos/convert-digital-61569a39ef44e.jpg","58A Ngo Thi Nham, Q. Hai Ba Trung, Ha Noi"
"Công ty TNHH Cốc Cốc","https://careers.coccoc.com/"," 100-499 nhân viên","<p style=""text-align:justify;"">Cốc Cốc is founded in 2010. On May 14, 2013, Cốc Cốc officially launched the Co Rom+ Browser, later renamed to Coc Coc Browser, marking the beginning of the journey to conquer the Vietnamese user experience of a young team with many great ambitions. One year later, Cốc Cốc became the 2nd most popular browser in Vietnam and received US$14M investment from Huber Burda Media. In 2016, Cốc Cốc thrived to be the 2nd biggest publisher in Vietnam.</p>","https://www.topcv.vn/viec-lam/test-engineer-team-lead/696193.html?ta_source=JobSearchList","Test Engineer Team Lead"," Hạn nộp hồ sơ: 30/04/2023","Tới 2,500 USD","Toàn thời gian","Không yêu cầu","1 người","Trưởng/Phó phòng","Trên 5 năm","- Hà Nội","<div class=""content-tab""><p><i>As a Test Engineer Team Leader, you will effectively lead a team of manual and automation testers. The role involves quality &amp; test advocacy, resource planning &amp; management, and resolution of issues that impede the testing effort. You will also work closely with other project groups to increase the quality of software delivered.</i></p><p><strong>RESPONSIBILITIES:</strong><br>&nbsp;</p><ul><li>Building up and leading the testing team to the success of the project;</li><li>Defining the scope of testing within the context of each release/ delivery;</li><li>Deploying and managing resources for testing;</li><li>Applying the appropriate test measurements and metrics in the product and the testing team;</li><li>Planning, deploying and managing the testing effort for any given engagement.</li></ul></div>","<div class=""content-tab""><p><strong>Required skills:</strong></p><ul><li>Experience test management on large software implementation projects;</li><li>Experience in managing a testing team with both manual and automation testers;</li><li>People management and leadership skills, including coaching, supervision, staffing, and conflict management;</li><li>Experience with configuration management/ build management procedures;</li><li>In-depth knowledge of the SDLC as well as various software testing methodologies;</li><li>Highly experienced in writing test plans and test cases, and documenting software defects and anomalies;</li><li>Experience implementing, administering, and training on automated testing tools;</li><li>Experience with at least one or more programming or scripting languages (e.g. SQL, Java, Javascript, Unix, XML)<br>&nbsp;</li></ul><p><strong>Preferred Qualification:</strong></p><ul><li>ISTQB certifications</li><li>Knowledge in automation testing.</li><li>Experience with testing framework (Junit, TestNG),</li><li>Experience with Unix OS (Debian/Linux)</li><li>Familiarity with virtualization (Sandbox, Docker)<br>&nbsp;</li></ul><p><strong>Soft Skills:</strong></p><ul><li>Good written and verbal communication and facilitation skills with demonstrated ability to engage and influence business and technical audiences;</li><li>Good decision-making skills, analytical thinking skills, and risk management skills;</li><li>Result oriented;</li><li>Good English.</li></ul></div>","<div class=""content-tab""><p><strong>WHY YOU'LL LOVE WORKING WITH US</strong></p><p>Few countries have local challengers in the search and browser space. Vietnam is one of those countries thanks to Cốc Cốc. There are a lot of challenges in competing against dominant global players, but also lots of rewards when we succeed.</p><p><strong>Professional growth:</strong></p><ul><li>What we are doing is difficult. This is why there are a lot of opportunities for you to learn and grow with support from a mix of the learning &amp; development programs</li><li>You will work alongside talented team members who have a unique skill set and expertise in this market</li><li>Coc Coc is a Vietnamese company but you will be working in an international environment with team members/partners/customers who are local and international<br>&nbsp;</li></ul><p><strong>Compensations and benefits:</strong></p><ul><li>Attractive salary and bonus scheme with 13th month salary.&nbsp;</li><li>Performance review twice/ year</li><li>Special annual leave policy with minimum 20 days/ year (including 1 day off on your birthday)</li><li>Great Trade Union benefits for your important life events such as birthday, marriage, new born child...&nbsp;</li><li>Periodic medical checkup, PVI Insurance &amp; Health/Social Insurances&nbsp;<br>&nbsp;</li></ul><p><strong>Working environment:</strong></p><ul><li>A culture of flexibility and responsibility, no dress code and annual Work From Home policy</li><li>Exciting internal events to help you understand the whole business and make you part of the Cốc Cốc family</li><li>Modern and cozy kitchens with plenty of snacks and coffee/tea bars every day, to make sure energy level is high when you need it</li><li>There are many interesting hobby clubs to share your non-professional passions like English Club, Yoga, Football and many other clubs are forming ...</li></ul></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-tnhh-coc-coc-60ec78edb2aa3a99231fa8fe25bb3b86-5dc8d3d764260.jpg","Tòa nhà ICON 4, 243A Đê La Thành, Đống Đa, Hà Nội"
"TỔ CHỨC GIÁO DỤC FPT"," "," 100-499 nhân viên","<p>Tổ chức Giáo dục FPT (FPT Education) là một hệ thống trường thuộc các khối đào tạo khác nhau từ cấp trung học phổ thông, cao đẳng, đại học và sau đại học, các khối liên kết và trao đổi sinh viên quốc tế.
</p>","https://www.topcv.vn/viec-lam/giang-vien-cong-nghe-thong-tin-binh-dinh/931793.html?ta_source=JobSearchList","Giảng Viên Công Nghệ Thông Tin_Bình Định"," Hạn nộp hồ sơ: 31/03/2023","Thoả thuận","Toàn thời gian","Không yêu cầu","10 người","Nhân viên","Không yêu cầu kinh nghiệm","- Bình Định: TP Quy Nhơn","<div class=""content-tab""><ul><li>Giảng dạy các môn học phù hợp với chuyên môn theo sự phân công của Bộ môn:<br>Operating System and Computer Architecture, C and .NET, Java web application development, Software Architecture and Design, Data Structures and Algorithm, Data Warehouse, Xử lý tín hiệu số, Học máy , Học sâu, Điện toán đám mây, Khai phá dữ liệu, Internet vạn vật, ....</li><li>Xây dựng ngân hàng câu hỏi – đề thi</li><li>Tham gia các hoạt động chuyên môn: Họp chuyên môn, Workshop, hướng dẫn sinh viên làm đề tài NCKH,…</li></ul></div>","<div class=""content-tab""><ul><li>&nbsp;Tốt nghiệp Đại học trở lên khối ngành Công nghệ thông tin hoặc các ngành liên quan ( khoa học máy tính, tin học,...)</li><li>Chuyên môn sâu và có kinh nghiệm trong các lĩnh vực Kỹ thuật phần mềm, Trí tuệ nhân tạo, An toàn thông tin, Internet vạn vật</li><li>Có kinh nghiệm của một hoặc một vài môn sau: Lập trình các ngôn ngữ C, Java, HTML/CSS/Javascript, PHP, Android., Python; Các nền tảng NodeJS, ReactJS, Angular, Laravel, Unity 2D, Spring MVC, Spring Boot, .NetCore, ReactJS, Angular …</li><li>Yêu thích công việc giảng dạy và nghiên cứu khoa học</li><li>Sẵn sàng tiếp thu cái mới và thay đổi để hoàn thiện chính mình</li></ul></div>","<div class=""content-tab""><ul><li>Môi trường làm việc năng động, chuyên nghiệp</li><li>Có mức thu nhập cạnh tranh (trả theo năng lực)</li><li>Có cơ hội tham gia các hoạt động đào tạo nâng cao trình độ</li><li>Cơ hội được nhận hỗ trợ từ FPT Edu lên đến 200 triệu đồng khi tham gia học Tiến sĩ</li><li>Thưởng bài báo được công bố quốc tế: mức thưởng lên đến 100 triệu đồng/bài</li><li>Được nhận hỗ trợ khi tham gia hội nghị, hội thảo trong nước và quốc tế có bài tham luận: mức hỗ trợ lên đến 30 triệu đồng/người/năm</li><li>Hưởng chế độ chăm sóc sức khỏe đặc biệt dành cho bản thân và gia đình (FPT care)</li><li>Được đóng BHXH, BHYT, BHTN… theo quy định của Nhà nước</li><li>Người nhà được hưởng chế độ ưu đãi học phí khi học tập tại Tổ chức Giáo dục FPT</li><li>Các quyền lợi khác: du lịch nghỉ mát hàng năm, tham gia các hoạt động teambuilding...</li></ul></div>","https://cdn.topcv.vn/80/company_logos/dai-hoc-fpt-5e6cd019948cb.jpg","HN: Khu Giáo dục và Đào tạo - Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, huyện Thạch Thất, TP. Hà NộiHCM: Lầu 2. Tòa nhà Innovation, lô 24, CVPM Quang Trung, P.Tân Chánh Hiệp, Quận 12, TP. Hồ Chí Minh. ĐN: khu đô thị FPT city, Ngũ Hành Sơn, Đà Nẵn"
